100-лист. ручной входной лоток Hewlett-Packard RM1-1740-040CN/RM1-1740-030CN/RM1-1740-000CN/RM1-1740-020CN
1500-лист. кассета с податчиком Hewlett-Packard Q2444-67902/Q2444B/Q2444-67901/Q2444-69001/Q2444-69002
1500-листовая кассета Hewlett-Packard CE398-67901 (HCI)
500-листовая кассета (лоток-2 и лоток-3) Hewlett-Packard RM1-1088-090CN/RM1-1088-070CN/RM1-0028-060CN/RM1-0030/Q2441-69002/Q2441-69001/RM1-0028-000CN/RM1-0028-170CN/RM1-0030-000CN/RM1-1088-000CN/RM1-1088-050CN
ADF (основание) Hewlett-Packard PF2309K102NI
ADF базовая (нижняя) часть Hewlett-Packard CE841-60113 / CE841-60129
ADF в сборе (не включает лоток) Hewlett-Packard RG5-6549-110CN/C9148-69001/C9148-69004/RG5-6549-000CN/RG5-6549-090CN
ADF в сборе Canon FM4-6906-000000
ADF в сборе Canon FM4-6944-000000
ADF в сборе Hewlett-Packard A8P79-65014
ADF в сборе Hewlett-Packard CB414-67928/CB414-67926/CB414-67916/CB414-67919
ADF в сборе Hewlett-Packard CB532-67903
ADF в сборе Hewlett-Packard CB534-67901
ADF в сборе Hewlett-Packard CC476-67912/CC476-67909 (Legal size 8.5 x 14-inches)
ADF в сборе Hewlett-Packard CC483-67907/CC483-67905/CC483-67903/CC483-67904
ADF в сборе Hewlett-Packard CD644-67918
ADF в сборе Hewlett-Packard CD644-67921
ADF в сборе Hewlett-Packard CE841-60106
ADF в сборе Hewlett-Packard CF066-67910/CC522-67923
ADF в сборе Hewlett-Packard CF116-67910
ADF в сборе Hewlett-Packard CF288-60029/CF288-60011 L
ADF в сборе Hewlett-Packard CF367-67920
ADF в сборе Hewlett-Packard CN598-67008
ADF в сборе Hewlett-Packard CZ271-60016
ADF в сборе Hewlett-Packard PF2282-SVPNR/PF2282K006NI
ADF в сборе Hewlett-Packard PF2284-SVPNR
ADF в сборе Hewlett-Packard PF2288-SVPNR/PF2288-SVPNI
ADF в сборе Hewlett-Packard PF2309-SVPNK/PF2309-SVPNI
ADF в сборе Hewlett-Packard Q3938-67998/Q3938-67990/Q3938-67943
ADF в сборе Hewlett-Packard Q3948-60193/Q3948-60118/Q3948-60189
ADF в сборе Hewlett-Packard Q6500-67903
ADF в сборе Hewlett-Packard Q7404-60025
ADF в сборе Hewlett-Packard Q7829-67944/Q7829-67939/Q7829-67901
ADF в сборе Hewlett-Packard RG5-7379-040CN/RG5-7379-000CN
ADF в сборе Samsung JC96-03389H ADF
ADF в сборе Samsung JC97-04164A
ADF в сборе Xerox 022K67690
ADF в сборе Xerox 101N01421
ADF в сборе для базовой модели и моделей с факсом Hewlett-Packard CC434-67902
ADF в сборе со шлейфом и шарнирами Xerox 007N01547
ADF и сканер в сборе для аппаратов с дуплексом Hewlett-Packard C5F98-60110
LCD- дисплей Hewlett-Packard JC07-00020A
"LCD-панель 661-6615 27-inch, WITH BLC"
RAID-контроллер SCSI Hewlett-Packard 355525-B21
RAID-контроллер Serial ATA Hewlett-Packard 367877-001 PCI 4-Channel ATA SATA четыре порта
"SATA RAID 1, 0 контроллер с 2x3.5"" Hot Swap SATA HDD для установки в 2x5.25"" отсек, черный цвет, дисплей для отображения статуса HDD, контроля температуры, состояния вентилятора. Accordance ARAID 3500-B"
"SFP-модуль 1-port mini-GBIC LX Multi-mode Fiber Transceiver (up to 2km, support 3,3V power)"
"SFP-модуль 1-port mini-GBIC SX Multi-mode Fiber Transceiver (up to 550m, support 3,3V power)"
"SFP-модуль Gigabit SFP module, Multi-mode, MiniGBIC, LC interface, Up to 550/275m distance"
"Абсорбер (памперс, поглотитель чернил) Canon QY5-0518-000000"
Автоподатчик - DADF в сборе Xerox 002N02275
Автоподатчик DADF в сборе Xerox 022K74860
Автоподатчик DADF-AB1 (A) Canon 2840B003
Автоподатчик DADF-P2 Canon 0415B006
Автоподатчик Xerox 022N02799
Автоподатчик в сборе (ADF) Samsung JC81-00429A
Автоподатчик в сборе (ADF) для моделей с картой памяти Hewlett-Packard CC436-67901
